siteID,year,a0c0,ac0,a0n0,an0,bc0,bn0,soilresp,biomassC,C_into_A0,net_C_into_A0,net_prim_prodC,biomassN,N_into_A0,net_N_into_A0,net_prim_prodN,avail_n
0,86,3.44678,123.786,0.916999E-01,2.86638,10.2391,0.136045E-01,6.84902,96.8712,7.69876,0.617539,0.453975,0.215675,0.934966E-01,0.00000,0.945106E-01,0.778620E-01
0,87,4.28503,124.119,0.952687E-01,2.87213,10.3496,0.136045E-01,7.46310,97.1939,8.74477,0.723959,-0.750293,0.216397,0.952101E-01,0.00000,0.935465E-01,0.753676E-01
0,88,4.23782,124.428,0.937562E-01,2.87886,10.4641,0.136045E-01,7.71188,96.2813,8.08817,0.815735,-0.326111,0.214372,0.921641E-01,0.00000,0.914312E-01,0.780820E-01
0,89,4.28163,124.669,0.975322E-01,2.88337,10.5704,0.136045E-01,6.86991,96.1584,7.26077,0.367418,0.659506,0.214093,0.893038E-01,0.00000,0.907566E-01,0.701389E-01
0,90,3.94428,124.995,0.934167E-01,2.89024,10.6839,0.136045E-01,7.41535,96.2488,7.51782,1.13876,-0.181965,0.214278,0.895126E-01,0.00000,0.891172E-01,0.781107E-01
0,91,3.66875,125.210,0.915308E-01,2.89657,10.7962,0.136045E-01,6.93605,96.6578,6.98746,0.119668,0.891374,0.215198,0.872392E-01,0.00000,0.892241E-01,0.789463E-01
0,92,2.93022,125.339,0.877414E-01,2.90045,10.9128,0.136045E-01,6.47799,97.5105,5.98524,0.374216,1.88075,0.217096,0.855980E-01,0.00000,0.897872E-01,0.794147E-01
0,93,3.06017,125.427,0.913406E-01,2.90238,11.0235,0.136045E-01,6.02578,99.3467,6.35387,0.439880,1.50640,0.221187,0.872969E-01,0.00000,0.906555E-01,0.777378E-01
0,94,3.28669,125.627,0.908805E-01,2.90639,11.1379,0.136045E-01,6.70530,100.711,7.24651,0.897435,0.495034,0.224229,0.898195E-01,0.00000,0.909305E-01,0.795991E-01
0,95,3.85396,125.805,0.969257E-01,2.90900,11.2435,0.136045E-01,6.36795,101.345,7.21918,0.417305,0.634191,0.225649,0.891378E-01,0.00000,0.905552E-01,0.749408E-01
0,96,3.76097,126.092,0.958872E-01,2.91333,11.3529,0.136045E-01,6.78395,101.629,7.08735,0.773512,0.398108,0.226288,0.884380E-01,0.00000,0.893281E-01,0.773771E-01
0,97,3.44646,126.329,0.935757E-01,2.91869,11.4640,0.136045E-01,6.60956,102.183,6.64298,0.455112,0.968485,0.227525,0.868362E-01,0.00000,0.889316E-01,0.749145E-01
0,98,3.31223,126.500,0.920527E-01,2.92366,11.5774,0.136045E-01,6.56679,102.938,6.71708,0.843553,0.688362,0.229142,0.871264E-01,0.00000,0.886564E-01,0.764050E-01
0,99,3.77776,126.658,0.923117E-01,2.92931,11.6914,0.136045E-01,7.01365,103.729,7.75036,0.498799,-0.265425,0.230904,0.888834E-01,0.00000,0.882948E-01,0.771493E-01
0,100,4.00064,126.831,0.930827E-01,2.93597,11.8021,0.136045E-01,7.00714,103.471,7.51430,0.601690,-0.554161E-01,0.230332,0.875769E-01,0.00000,0.874665E-01,0.740863E-01
0,101,4.14701,126.990,0.913131E-01,2.94327,11.9171,0.136045E-01,7.50587,103.219,7.92565,0.811458,-0.696924,0.229783,0.877663E-01,0.00000,0.862032E-01,0.789182E-01
0,102,4.17590,127.113,0.910964E-01,2.95074,12.0286,0.136045E-01,7.21979,102.795,7.48360,0.321163,-0.370841E-01,0.228826,0.855256E-01,0.00000,0.854421E-01,0.763906E-01
0,103,4.20474,127.242,0.874646E-01,2.95962,12.1455,0.136045E-01,7.85150,102.544,8.12561,0.620032,-0.918907,0.228267,0.863411E-01,0.00000,0.843110E-01,0.804780E-01
0,104,3.21302,127.206,0.831576E-01,2.96588,12.2619,0.136045E-01,6.68763,101.803,5.77703,0.218855,1.55337,0.226635,0.798777E-01,0.00000,0.833433E-01,0.832567E-01
